ID,ACSTOTPOP,DEMOGIDX_2,DEMOGIDX_5,P_PM25,P_D2_PM25,P_D5_PM25,P_OZONE,P_D2_OZONE,P_D5_OZONE,P_DSLPM,P_D2_DSLPM,P_D5_DSLPM,P_CANCER,P_D2_CANCER,P_D5_CANCER,P_RESP,P_D2_RESP,P_D5_RESP,P_RSEIAIR,P_D2_RSEIAIR,P_D5_RSEIAIR,P_PTRAF,P_D2_PTRAF,P_D5_PTRAF,P_LDPNT,P_D2_LDPNT,P_D5_LDPNT,P_PNPL,P_D2_PNPL,P_D5_PNPL,P_PRMP,P_D2_PRMP,P_D5_PRMP,P_PTSDF,P_D2_PTSDF,P_D5_PTSDF,P_UST,P_D2_UST,P_D5_UST,P_PWDIS,P_D2_PWDIS,P_D5_PWDIS
24033800505,2547,0.277202188795653,0.058833033221150,33,37,23,53,49,35,62,54,43,17,44,25,50,60,53,38,40,25,81,61,49,30,37,22,41,44,30,39,42,27,33,36,24,12,20,9,79,69,47
24033800507,3049,0.380452607412266,0.070503636581329,21,34,17,43,53,34,34,46,31,17,57,34,6,39,17,35,48,27,58,61,44,17,30,15,34,47,29,62,66,46,39,49,32,41,50,35,65,75,46
24033800511,5422,0.449374873364124,0.078797145019018,28,46,27,44,62,38,42,57,40,17,65,40,6,42,22,33,52,28,42,55,37,14,29,14,29,48,28,67,75,53,18,33,19,68,74,52,56,76,44
24033800513,6905,0.349264873469279,0.060858961309061,41,51,30,53,59,36,54,57,40,17,54,27,50,66,54,36,45,25,70,65,45,13,20,10,43,51,32,38,48,28,25,35,20,25,36,19,81,81,49
24033800514,7002,0.492130157319233,0.063585381626288,48,68,38,53,72,37,52,65,40,17,71,29,50,76,55,34,56,24,40,57,30,0,0,0,49,65,37,41,61,31,16,32,13,43,60,33,78,91,50
24033800515,4611,0.445931731926734,0.076250891570338,34,53,32,51,67,43,49,61,44,17,65,38,50,72,59,35,54,29,15,28,14,28,51,25,34,51,32,50,64,41,25,41,24,11,25,10,63,80,48
24033800516,3813,0.440251912133854,0.072508392743858,32,51,28,51,67,41,67,71,52,17,64,35,50,72,58,36,54,29,49,60,39,9,18,9,36,53,32,47,62,38,30,45,27,44,57,38,58,77,42
24033800517,5521,0.481238987571902,0.068704832692543,42,63,35,43,64,33,38,56,33,17,69,32,50,75,56,31,52,24,29,46,24,4,8,4,35,55,29,61,74,45,25,43,23,24,42,21,55,78,36
24033800518,3918,0.479168971895049,0.054186101472215,45,65,30,49,68,31,37,55,27,17,69,23,50,75,52,33,54,21,37,53,24,12,26,9,37,56,25,51,68,33,19,36,14,27,45,19,66,85,34
24033800519,4118,0.444195125131575,0.057806342497866,28,46,19,49,66,32,48,60,35,17,64,24,50,72,53,35,53,23,43,56,30,9,18,7,31,49,22,55,68,36,26,41,20,0,0,0,58,77,32
